stationName;latlon
100 Manufacturers Rd;35.061546, -85.310370
100 Walnut St;35.056118, -85.307485
1216 Broad St;35.040664, -85.309576
1826 Carter St;35.036618, -85.316716
200 River St Outdoor Chattanooga;35.061814, -85.306438
215 Broad St;35.054162, -85.310829
500 Georgia Ave;35.051124, -85.305246
301 Manufacturers Rd;35.063394, -85.314141
800 E 8th St;35.044098, -85.299389
Broad St & W 10th St;35.044739, -85.310519
Broad St & W 4th St;35.052193, -85.310795
Broad St & W 6th St;35.049617, -85.310729
Broad St & W 8th St;35.047069, -85.310617
Carter St & W 12th St;35.042497, -85.313371
Chestnut St & Riverfront Pkwy;35.056109, -85.311942
Douglas St;35.046249, -85.301401
E 5th St & Collins St;35.047789, -85.295725
E Main St & Rossville Ave;35.035391, -85.305339
High St & E 2nd St;35.054855, -85.305476
Hubert Fry Center Tennessee Riverpark;35.094637, -85.250179
Market & E 4th Street;35.052185, -85.309607
Market St & Cowart St;35.040852, -85.308280
Market St & E 14th St;35.038506, -85.307561
Market St & ML King Blvd;35.045797, -85.309364
Market St & W 12th St;35.041897, -85.308763
McCallie Ave & Lindsay St;35.047413, -85.305587
ML King Blvd & Lindsay St;35.045288, -85.306874
Oak St & Houston St;35.047747, -85.303699
Oak St & University Greenway;35.045683, -85.298032
Pine St. & W. 6th St.;35.049560, -85.312701
Power Alley & Riverfront Pkwy;35.055870, -85.312989
SpringHill Suites;35.055477, -85.317863
W Main St & Cowart St;35.037199, -85.310244
